"Name","CPU","WorkingSet"
"AcrobatNotificationClient","0,03125","10186752"
"AdobeCollabSync","0,234375","5480448"
"AdobeCollabSync","4,796875","12795904"
"AdobeNotificationClient","0,046875","10350592"
"AdobeUpdateService",,"9613312"
"AggregatorHost",,"12820480"
"ai","0,203125","39841792"
"ai","0,203125","42385408"
"amdfendrsr",,"6995968"
"AppHelperCap",,"16261120"
"ApplicationFrameHost","0,015625","35172352"
"armsvc",,"7892992"
"chrome","0,265625","74539008"
"chrome","68,375","337924096"
"chrome","0,078125","9351168"
"chrome","490,703125","255377408"
"chrome","7,046875","67911680"
"chrome","0,5625","27512832"
"chrome","13,859375","322646016"
"chrome","0,046875","47104000"
"chrome","16,703125","360153088"
"chrome","161,796875","582963200"
"chrome","0,0625","24801280"
"chrome","0,015625","30994432"
"chrome","1,296875","157921280"
"chrome","2,09375","92938240"
"Code","0,109375","49598464"
"Code","0,515625","116969472"
"Code","1,984375","216129536"
"Code","0,53125","131858432"
"Code","65,953125","377651200"
"Code","0,078125","105984000"
"Code","0","32100352"
"Code","0,109375","121782272"
"Code","0,203125","111538176"
"Code","7,5","149880832"
"Code","115,765625","174637056"
"conhost",,"10940416"
"conhost","0,03125","7249920"
"conhost","0","11137024"
"conhost","0,640625","23576576"
"conhost","0,015625","7282688"
"conhost","0,09375","7340032"
"conhost","0,015625","7331840"
"conhost","0","7327744"
"CrossDeviceService","3,59375","89935872"
"csrss",,"5816320"
"csrss",,"7020544"
"ctfmon","5,53125","33886208"
"dasHost",,"16670720"
"dasHost",,"5836800"
"DesktopInterface","14,3125","61206528"
"DiagsCap",,"40599552"
"DisplayLinkTrayApp","0","9543680"
"dllhost","0","15757312"
"dllhost","0,078125","18317312"
"dllhost","0,046875","16420864"
"dllhost","0","9957376"
"dwm",,"234389504"
"eduWGSvcHost",,"7680000"
"escsvc64",,"7663616"
"esif_uf",,"7798784"
"ETDCtrl","0,03125","16912384"
"ETDCtrlHelper",,"9773056"
"ETDService",,"7032832"
"explorer","42,328125","415891456"
"FileCoAuth","0,125","29503488"
"FileSyncHelper",,"22822912"
"FlexiSpoolerService",,"102490112"
"FMService64",,"8892416"
"fontdrvhost",,"9371648"
"fontdrvhost",,"5185536"
"HotKeyServiceUWP",,"35868672"
"ibtsiva",,"6316032"
"Idle",,"8192"
"igfxCUIService",,"9924608"
"igfxEM","0,109375","15716352"
"IntelCpHDCPSvc",,"8036352"
"IntelCpHeciSvc",,"7987200"
"InventoryService",,"332632064"
"jhi_service",,"7249920"
"LanWlanWwanSwitchingServiceUWP",,"14163968"
"LsaIso",,"5128192"
"lsass",,"39501824"
"Memory Compression",,"312332288"
"Microsoft.Management.Services.IntuneWindowsAgent",,"124682240"
"MicrosoftStartFeedProvider","1,1875","38760448"
"mmc","1,09375","48406528"
"MpDefenderCoreService",,"30662656"
"ms-teams","2,71875","47329280"
"ms-teams","176,09375","49156096"
"msedgewebview2","0,546875","44105728"
"msedgewebview2","4,671875","6713344"
"msedgewebview2","1,21875","17424384"
"msedgewebview2","0,03125","22863872"
"msedgewebview2","0,28125","5296128"
"msedgewebview2","0,140625","24096768"
"msedgewebview2","96,6875","148549632"
"msedgewebview2","216,46875","111362048"
"msedgewebview2","0","11063296"
"msedgewebview2","17,6875","46493696"
"msedgewebview2","0","10842112"
"msedgewebview2","13,96875","130334720"
"msedgewebview2","16,9375","250494976"
"msedgewebview2","0,046875","47202304"
"msedgewebview2","0,296875","1421312"
"MsMpEng",,"375029760"
"MsSense",,"191000576"
"NetworkCap",,"13750272"
"NisSrv",,"26173440"
"NVDisplay.Container",,"47747072"
"NVDisplay.Container",,"57118720"
"nvWmi64",,"11300864"
"nvWmi64",,"17248256"
"OfficeClickToRun",,"66084864"
"OneApp.IGCC.WinService",,"42041344"
"OneDrive","34,28125","229511168"
"OneDrive.Sync.Service","4,25","163844096"
"openvpnserv",,"7962624"
"PhoneExperienceHost","0,1875","132878336"
"POWERPNT","224,484375","688726016"
"PresentationFontCache",,"28389376"
"prevhost","0","9486336"
"pwsh","47,765625","730161152"
"pwsh","42,234375","506605568"
"pwsh","0,859375","122236928"
"Registry",,"30715904"
"RtkAudUService64",,"15900672"
"RtkAudUService64",,"14147584"
"RuntimeBroker","0,015625","16228352"
"RuntimeBroker","0","9818112"
"RuntimeBroker","0,03125","18579456"
"RuntimeBroker","0,0625","25841664"
"RuntimeBroker","0,53125","49684480"
"RuntimeBroker","2,453125","74969088"
"RuntimeBroker","0,078125","16330752"
"RuntimeBroker","0,03125","11882496"
"RuntimeBroker","0,015625","23408640"
"SearchHost","12,578125","299696128"
"SearchIndexer",,"59596800"
"SECOCL64","0,03125","10829824"
"SECOMN64",,"10235904"
"Secure System",,"83963904"
"SecurityHealthService",,"20754432"
"SecurityHealthSystray","0","10981376"
"SenseIR",,"17997824"
"SenseNdr",,"38830080"
"SenseTVM",,"10625024"
"services",,"18825216"
"ShellExperienceHost","0,296875","94171136"
"sihost","6,8125","37634048"
"smartscreen","0","10960896"
"smss",,"1359872"
"SnippingTool","2,1875","140578816"
"spoolsv",,"24276992"
"sqlwriter",,"9138176"
"StartMenuExperienceHost","4,203125","140103680"
"svchost",,"5767168"
"svchost",,"15597568"
"svchost",,"13959168"
"svchost",,"5758976"
"svchost",,"36306944"
"svchost",,"20901888"
"svchost",,"11714560"
"svchost",,"8818688"
"svchost",,"13348864"
"svchost",,"13860864"
"svchost",,"7004160"
"svchost",,"18702336"
"svchost",,"11268096"
"svchost",,"11829248"
"svchost",,"10547200"
"svchost",,"12484608"
"svchost",,"9965568"
"svchost",,"6230016"
"svchost",,"14090240"
"svchost",,"28934144"
"svchost",,"6291456"
"svchost",,"9162752"
"svchost",,"13316096"
"svchost",,"10027008"
"svchost",,"26431488"
"svchost",,"19804160"
"svchost",,"9396224"
"svchost",,"13492224"
"svchost",,"8429568"
"svchost",,"7675904"
"svchost",,"12550144"
"svchost",,"27475968"
"svchost",,"58257408"
"svchost",,"8708096"
"svchost",,"10469376"
"svchost",,"8499200"
"svchost",,"9035776"
"svchost",,"8224768"
"svchost",,"18665472"
"svchost",,"18972672"
"svchost",,"7413760"
"svchost",,"7364608"
"svchost",,"8110080"
"svchost",,"10174464"
"svchost",,"13905920"
"svchost",,"6455296"
"svchost",,"8749056"
"svchost",,"15396864"
"svchost",,"20656128"
"svchost",,"15904768"
"svchost","2,421875","37371904"
"svchost",,"13422592"
"svchost",,"7991296"
"svchost",,"12328960"
"svchost",,"10260480"
"svchost",,"10256384"
"svchost",,"16429056"
"svchost",,"24670208"
"svchost",,"15331328"
"svchost",,"9334784"
"svchost",,"47673344"
"svchost",,"55062528"
"svchost",,"14139392"
"svchost",,"7933952"
"svchost",,"6451200"
"svchost",,"20246528"
"svchost",,"15118336"
"svchost",,"23830528"
"svchost",,"9781248"
"svchost",,"38076416"
"svchost",,"9830400"
"svchost",,"13631488"
"svchost",,"10592256"
"svchost",,"24403968"
"svchost",,"17043456"
"svchost",,"12083200"
"svchost",,"12918784"
"svchost",,"8339456"
"svchost",,"12853248"
"svchost",,"21594112"
"svchost","0,140625","9687040"
"svchost","1,0625","35278848"
"svchost","0","9687040"
"svchost","0,203125","26157056"
"svchost","0,03125","15147008"
"svchost",,"9740288"
"svchost",,"8110080"
"svchost",,"11075584"
"svchost","0,03125","13705216"
"svchost","0,109375","20631552"
"svchost",,"12783616"
"svchost",,"14573568"
"svchost",,"17612800"
"svchost",,"12955648"
"SysInfoCap",,"241135616"
"System",,"6561792"
"SystemSettings","0,171875","2932736"
"taskhostw","0,359375","24371200"
"TbtP2pShortcutService",,"6606848"
"TextInputHost","1,484375","80076800"
"ThunderboltService",,"19341312"
"TouchpointAnalyticsClientService",,"78589952"
"uhssvc",,"17727488"
"unsecapp",,"7569408"
"Video.UI","0,09375","13447168"
"vmcompute",,"11694080"
"vmms",,"37253120"
"vmnat",,"8994816"
"vmnetdhcp",,"12529664"
"vmware-authd",,"14004224"
"vmware-usbarbitrator64",,"12595200"
"WebDrive","0,21875","188702720"
"WebDrive","0,1875","38199296"
"WebDrive","0,71875","119451648"
"WebDrive","4,390625","121458688"
"WebDrive","38,53125","78123008"
"WebDriveCLI","0,953125","69111808"
"WidgetBoard","0,703125","108191744"
"WidgetService","0,484375","25276416"
"WindowsPackageManagerServer","0,6875","31154176"
"wininit",,"7204864"
"winlogon",,"14569472"
"WINWORD","17,875","328474624"
"wlanext",,"7823360"
"WmiPrvSE",,"20045824"
"WmiPrvSE",,"48926720"
"WMIRegistrationService",,"16793600"
"wslservice",,"21889024"
"WUDFHost",,"22831104"
"WUDFHost",,"11845632"
"WUDFHost",,"9895936"
"XtuService",,"107491328"
